Titre source;Exemples cités;Date_stat;Type;Date;Citations
De la puissance légitime (1581); Moyse propose les conditions d'alliance;-1491; Antiquité biblique; Antiquité;" ""**Moyse** venant à mourir propose ces conditions d'alliance à tout le peuple [16]"""
De la puissance légitime (1581); Phinees traite avec les lignées;-1452; Antiquité biblique; Antiquité;" ""le Sacrificateur **Phinees** fils de Eleazar est envoyé vers les autres, pour traiter avec eux [34]"""
De la puissance légitime (1581); Josué succède à Moyse;-1451; Antiquité biblique; Antiquité;" ""Apres le trespas de Moyse, **Josué** fut establi chef & conducteur du peuple de Dieu [17]"""
De la puissance légitime (1581); Ehuh tue Eglon;-1336; Antiquité biblique; Antiquité;" ""**Ehuh**... tua **Eglon** Roy de Moab, & delivra Israel [41]"""
De la puissance légitime (1581); Debora et Barac défont Sisara;-1209; Antiquité biblique; Antiquité;" ""la Prophetesse **Debora**... sous la conduite de **Barac**, met en route **Sisara** lieutenant de Jabin [38]"""
De la puissance légitime (1581); Jahel tue Sisara lieutenant de Jabin;-1209; Antiquité biblique; Antiquité;" ""benite soit **Jahel** femme de **Heber Cineen**, la quelle... tue **Sisara** chef de l'armee [24]"""
De la puissance légitime (1581); Gedeon et Iephté obtiennent des victoires;-1200; Antiquité biblique; Antiquité;" ""au lieu de gratifier & louër **Gedeon** & **Iephté** des victoires obtenues sur les Madianites [25]"""
De la puissance légitime (1581); Samuel établit Saul;-1095; Antiquité biblique; Antiquité;" ""Apres que **Saul** eust esté oinct, esleu & du tout establi Roy, **Samuel** parla au peuple [18, 19]"""
De la puissance légitime (1581); Agag meurt par le mandement;-1063; Antiquité biblique; Antiquité;" ""Saul... sauve la vie à **Agag** roy des Amalecites, contre l'expres mandement du Seigneur [20]"""
De la puissance légitime (1581); David déclare que la terre appartient au Seigneur;-1000; Antiquité biblique; Antiquité;" ""La terre appartient au Seigneur, & tout le contenu d'icelle, ce dit le Roy **David** [8]"""
De la puissance légitime (1581); Roine de Saba parle au roy Salomon;-950; Antiquité biblique; Antiquité;" ""Le Seigneur ton Dieu soit benit, disoit la **roine de Saba** au roy **Salomon**, qui t'a eu agreable pour te mettre sur son throne [9]"""
De la puissance légitime (1581); Ahia prédit la division du royaume;-931; Antiquité biblique; Antiquité;" ""Incontinent le Prophete **Ahia** predit que le royaume sera divisé sous son fils Roboam [21]"""
De la puissance légitime (1581); Roboam perd dix lignées au profit de Jeroboam;-931; Antiquité biblique; Antiquité;" ""dix lignees... quittent **Roboam** pour adherer à **Jeroboam** serviteur d'iceluy [21, 22]"""
De la puissance légitime (1581); Baasa extermine la race de Jeroboam;-909; Antiquité biblique; Antiquité;" ""toute sa race jusques au dernier masle fut raclee du monde par le glaive de **Baasa** [23, 24]"""
De la puissance légitime (1581); Abdias nourrit les prophètes;-860; Antiquité biblique; Antiquité;" ""Neantmoins **Abdias**, maistre d'hostel d'Achab cache & nourrit cent Prophetes [29]"""
De la puissance légitime (1581); Elie redargue Achab et Jesabel;-860; Antiquité biblique; Antiquité;" ""**Elie**... redargue plus vivement le Roy (**Achab**) & tout le peuple... malgré la meschante & furieuse **Jesabel** [30]"""
De la puissance légitime (1581); Naboth refuse sa vigne à Achab;-860; Antiquité biblique; Antiquité;" ""**Achab** Roy d'Israel ne pouvoit pas contraindre **Naboth** de vendre sa vigne [57]"""
De la puissance légitime (1581); Jehu extermine la race d'Achab;-841; Antiquité biblique; Antiquité;" ""**Jehu**, qui mit à mort son Seigneur le Roy Joram, extermina la race d'Achab [42]"""
De la puissance légitime (1581); Athalia meurt par la conjuration de Joiadas;-835; Antiquité biblique; Antiquité;" ""Le Souverain Sacrificateur **Joiadas**... fait sacrer & couronner Roy son neveu Loas... fait mettre à mort **Athalia** [35, 36]"""
